url,name,category,license,verdict,priority,notes,status
https://github.com/headroomlabs-ai/headroom,headroom,context-compression,MIT,inspired,high,Compression proxy + MCP,core-1
https://github.com/thedotmack/claude-mem,claude-mem,persistent-memory,Apache-2.0,inspired,medium,Persistent memory across sessions,core-5
https://github.com/multica-ai/multica,multica,multi-agent-platform,MIT,skip,low,Managed agents platform,out-of-scope
https://github.com/REMvisual/claude-handoff,claude-handoff,session-handoff,MIT,inspired,medium,Session handoff notes,core-5
https://github.com/manthanguptaa/water,water,agent-harness,MIT,skip,low,Python agent harness,out-of-scope
https://github.com/anthropics/claude-code,claude-code,harness,Proprietary,skip,high,Reference only,out-of-scope
https://github.com/1c7/chinese-independent-developer,chinese-indie-dev,reference,unknown,skip,low,Chinese dev reference list,out-of-scope
https://github.com/Nutlope/hallmark,hallmark,anti-slop,MIT,skip,low,Anti-slop design,out-of-scope
https://github.com/DietrichGebert/ponytail,ponytail,coding-philosophy,MIT,skip,low,Laziest-senior-dev,related-only
https://github.com/multica-ai/andrej-karpathy-skills,karpathy-skills,coding-discipline,MIT,adapted,high,4 rules,core-1
https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,ui-ux-pro-max,design,unknown,skip,low,UI/UX skill,related-only
https://github.com/JuliusBrussee/caveman,caveman,token-compression,MIT,inspired,medium,Token compression,core-3
https://github.com/anomalyco/opencode,opencode,harness,unknown,EXCLUDED,low,Claude Code clone,out-of-scope
https://github.com/bojieli/ai-agent-book,ai-agent-book,reference,unknown,skip,low,Chinese book,out-of-scope
https://github.com/tirth8205/code-review-graph,code-review-graph,code-intel,unknown,skip,low,Code intelligence,related-only
https://github.com/rohitg00/ai-engineering-from-scratch,ai-eng-from-scratch,reference,unknown,skip,low,Tutorial,out-of-scope
https://github.com/every-app/open-seo,open-seo,seo,unknown,skip,low,SEO tool,out-of-scope
https://github.com/1jehuang/jcode,jcode,harness,unknown,EXCLUDED,low,Claude Code clone,out-of-scope
https://github.com/KnockOutEZ/wigolo,wigolo,mcp-search,unknown,skip,low,MCP search,related-only
https://github.com/stablyai/orca,orca,multi-agent-ade,unknown,skip,low,ADE for agents,out-of-scope
https://github.com/jamiepine/voicebox,voicebox,audio,unknown,skip,low,Voice studio,out-of-scope
https://github.com/Canner/WrenAI,WrenAI,data,unknown,skip,low,Text-to-SQL,out-of-scope
https://github.com/oblien/openship,openship,deploy,unknown,skip,low,Deploy platform,out-of-scope
https://github.com/KKKKhazix/khazix-skills,khazix-skills,knowledge-closeout,MIT,inspired,high,Neat-freak 6-surface,core-5
https://github.com/hoainho/img2threejs,img2threejs,3d,unknown,skip,low,Image-to-3D,out-of-scope
https://github.com/DioxusLabs/dioxus,dioxus,ui-framework,unknown,skip,low,Rust UI,out-of-scope
https://github.com/diegosouzapw/OmniRoute,OmniRoute,ai-gateway,unknown,skip,low,AI gateway,out-of-scope
https://github.com/MadsLorentzen/ai-job-search,ai-job-search,jobs,unknown,skip,low,Job search,out-of-scope
https://github.com/usestrix/strix,strix,security,unknown,skip,low,Penetration testing,out-of-scope
https://github.com/abdlhannan/MT5_Trade_Connector,MT5,trading,unknown,skip,low,MT5 connector,bundle:trading
https://github.com/0xGF/boneyard,boneyard,ui-skeleton,unknown,skip,low,Skeleton framework,out-of-scope
https://github.com/KeygraphHQ/shannon,shannon,security,unknown,skip,low,AI pentester,out-of-scope
https://github.com/antonoly/claude-code-anymodel,claude-anymodel,harness,unknown,EXCLUDED,low,Claude Code variant,out-of-scope
https://github.com/letta-ai/claude-subconscious,claude-subconscious,memory,unknown,skip,medium,Subconscious memory,related-only
https://github.com/calesthio/Crucix,Crucix,intel-agent,unknown,skip,low,Personal intel agent,out-of-scope
https://github.com/sickn33/antigravity-awesome-skills,antigravity-skills,skill-catalog,MIT,skip,high,1969 skills catalog,reference-only
https://github.com/HFTHaidra/HFT-Arbitrage-EA,HFT-Arbitrage,trading,unknown,skip,low,MT4/5 EA,bundle:trading
https://github.com/EarnForex/Point-and-Figure,Point-and-Figure,trading,unknown,skip,low,MT5 indicator,bundle:trading
https://github.com/mementum/backtrader,backtrader,trading,unknown,skip,low,Python backtest lib,bundle:trading
https://github.com/ccxt/binance-trade-bot,binance-trade-bot,trading,unknown,skip,low,Crypto trade bot,bundle:trading
https://github.com/StockSharp/StockSharp,trading-platform,trading,unknown,skip,low,C# platform,bundle:trading
https://github.com/QuantConnect/Lean,Lean,trading,unknown,skip,low,Trading engine,bundle:trading
https://github.com/gbeced/pyalgotrade,pyalgotrade,trading,unknown,skip,low,Archived 2023,bundle:trading
https://github.com/Mathieu2301/TradingView-API,TradingView-API,trading,unknown,skip,low,Real-time scraping,bundle:trading
https://github.com/viabtc/viabtc_exchange_server,viabtc,trading,unknown,skip,low,5yr stale exchange,bundle:trading
https://github.com/MKwenhua/real-time-charts,real-time-charts,trading,unknown,skip,low,9yr stale,bundle:trading
https://github.com/HKUDS/AI-Trader,AI-Trader,trading,unknown,skip,low,Autonomous trading,bundle:trading
https://github.com/TauricResearch/TradingAgents,TradingAgents,trading,unknown,skip,low,Multi-agent trading,bundle:trading
https://github.com/Yvictor/TradingGym,TradingGym,trading,unknown,skip,low,3yr stale,bundle:trading
https://github.com/tensortrade-org/tensortrade,tensortrade,trading,unknown,skip,low,RL trading,bundle:trading
https://github.com/TraderAlice/OpenAlice,OpenAlice,trading,unknown,skip,low,AI trading agent,bundle:trading
https://github.com/tradermonty/claude-trading-skills,claude-trading-skills,trading,MIT,skip,medium,Trading skills bundle,bundle:trading
https://github.com/tradesdontlie/tradingview-mcp,tradingview-mcp,trading,MIT,skip,medium,55-tool MCP,bundle:trading
https://github.com/koreainvestment/open-trading-api,kis-api,trading,unknown,skip,low,Korea Investment API,bundle:trading
https://github.com/staskh/trading_skills,trading_skills,trading,MIT,skip,low,IB trading skills,bundle:trading
https://github.com/tiero/claw-cash,claw-cash,unknown,unknown,skip,low,Unknown repo,bundle:trading
https://github.com/askmike/gekko,gekko,trading,unknown,skip,low,Archived 2020,bundle:trading
https://github.com/knowm/XChange,XChange,trading,unknown,skip,low,Java exchange lib,bundle:trading
https://github.com/stefan-jansen/ml-for-trading,ml-for-trading,trading,unknown,skip,low,Book repo,bundle:trading
https://github.com/quantopian/zipline,zipline,trading,unknown,skip,low,6yr stale,bundle:trading
https://github.com/Superalgos/Superalgos,Superalgos,trading,unknown,skip,low,Visual bot platform,bundle:trading
https://github.com/grananqvist/Awesome-Quant-ML,awesome-quant,trading,MIT,skip,medium,Curated trading list,bundle:trading
https://github.com/huseinzol05/Stock-Prediction-Models,stock-prediction,trading,unknown,skip,low,Archived 2023,bundle:trading
https://github.com/stavros0/bitcoin-price-prediction,bitcoin-prediction,trading,unknown,skip,low,Archived 2022,bundle:trading
https://github.com/hzjken/HFT-price-prediction,HFT-prediction,trading,unknown,skip,low,7yr stale,bundle:trading
https://github.com/ultraworkers/claw-code,claw-code,harness,unknown,EXCLUDED,low,Claude Code variant,out-of-scope
https://github.com/anthropics/claude-code,claude-code,harness,Proprietary,EXCLUDED,high,Duplicate of source,out-of-scope
https://github.com/affaan-m/everything-claude-code,ECC,skill-catalog,MIT,skip,high,278 skills catalog,reference-only
https://github.com/claude-code-best/claude-code,claude-code,harness,unknown,EXCLUDED,low,Clone,out-of-scope
https://github.com/shareAI-lab/learn-claude-code,learn-cc,tutorial,unknown,skip,low,Tutorial,out-of-scope
https://github.com/public-apis/public-apis,public-apis,reference,unknown,skip,low,API list,out-of-scope
https://github.com/MSL135/GODMOD3,GODMOD3,unknown,unknown,skip,low,Low quality,out-of-scope
https://github.com/shovoalways/hermes,hermes-prompts,prompts,unknown,skip,low,3 playbooks,out-of-scope
https://github.com/jordan-gibbs/hyperresearch,hyperresearch,research,MIT,skip,low,Research pipeline,related-only
https://github.com/emilkowalski/skills/tree/main/skills/apple-design,apple-design,design,MIT,inspired,medium,Apple principles,optional-design
https://github.com/trycua/cua,cua,computer-use,MIT,skip,medium,Computer use SDK,related-only
https://github.com/upstash/context7,context7,docs-mcp,MIT,skip,low,Real-time lib docs,related-only
https://github.com/ericosiu/ai-marketing-skills,ai-marketing,marketing,MIT,skip,low,Marketing skills,out-of-scope
https://github.com/Shubhamsaboo/awesome-llm-apps,awesome-llm-apps,reference,unknown,skip,low,100+ AI apps,out-of-scope
https://github.com/phuryn/pm-skills,pm-skills,product,MIT,skip,low,PM skills,out-of-scope
https://github.com/abhigyanpatwari/GitNexus,GitNexus,code-graph,MIT,skip,medium,Code knowledge graph,related-only
https://github.com/procoders/superpowers-v,superpowers-v,unknown,unknown,skip,low,23 stars,out-of-scope
https://github.com/1c7/chinese-independent-developer,chinese-indie-dev,reference,unknown,skip,low,Duplicate,out-of-scope
https://github.com/Imbad0202/academic-research-skills,academic-research,research,MIT,skip,medium,Research pipeline,out-of-scope
https://github.com/addyosmani/agent-skills,agent-skills,skills,MIT,skip,high,Addy Osmani skills,reference-only
https://github.com/AgricIDaniel/claude-seo,claude-seo,seo,MIT,skip,medium,25 SEO sub-skills,out-of-scope
https://github.com/anthropics/skills,anthropic-skills,docs-skills,MIT,skip,high,Anthropic official skills,reference-only
https://github.com/sickn33/antigravity-awesome-skills,antigravity-skills,skill-catalog,MIT,skip,high,Duplicate,reference-only
https://github.com/JuliusBrussee/caveman,caveman,token-compression,MIT,skip,medium,Duplicate,out-of-scope
https://github.com/ChromeDevTools/chrome-devtools-mcp,chrome-devtools-mcp,browser,Apache-2.0,skip,medium,Google Chrome MCP,related-only
https://github.com/anthropics/claude-plugins-official,claude-plugins,plugins,MIT,skip,high,Anthropic plugin catalog,reference-only
https://github.com/bradautomates/claude-video,claude-video,video,MIT,skip,low,Video watching skill,out-of-scope
https://github.com/mksglu/context-mode,context-mode,context-compression,MIT,inspired,high,Sandbox + memory,core-2
https://github.com/wonderwhy-er/DesktopCommanderMCP,desktop-commander,desktop-mcp,MIT,skip,low,Desktop MCP,out-of-scope
https://github.com/affaan-m/ECC,ECC,skill-catalog,MIT,skip,high,Duplicate,reference-only
https://github.com/chopratejas/headroom,headroom,context-compression,MIT,skip,low,Duplicate of headroom,out-of-scope
https://github.com/pbakaus/impeccable,impeccable,design,MIT,inspired,high,Design language,optional-design
https://github.com/youcisla/last30days-skill,last30days,research,MIT,skip,low,Empty fork,out-of-scope
https://github.com/kepano/obsidian-skills,obsidian-skills,obsidian,MIT,skip,medium,Obsidian CLI skill,out-of-scope
https://github.com/openai/codex-plugin-cc,codex-plugin,harness,unknown,skip,medium,OpenAI Codex plugin,out-of-scope
https://github.com/DietrichGebert/ponytail,ponytail,coding-philosophy,MIT,skip,low,Duplicate,out-of-scope
https://github.com/ruvnet/ruflo,ruflo,multi-agent,MIT,skip,medium,Swarm platform,out-of-scope
https://github.com/obra/superpowers,superpowers,skills,MIT,adapted,high,Brainstorming + spec,core-4
https://github.com/Leonxlnx/taste-skill,taste-skill,anti-slop,MIT,inspired,high,Anti-slop detector,core-3
https://github.com/thedotmack/claude-mem,claude-mem,memory,Apache-2.0,skip,medium,Duplicate,out-of-scope
https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,ui-ux-pro-max,design,unknown,skip,low,Duplicate,out-of-scope
https://github.com/Egonex-AI/Understand-Anything,understand-anything,code-graph,MIT,skip,medium,Code knowledge graph,out-of-scope
https://huggingface.co/datasets/Glint-Research/Fable-5-traces,fable5-traces,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/datasets/armand0e/claude-fable-5-claude-code,claude-fable-5,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/datasets/SupraLabs/reasoning-corpus-4K-5M-v1,reasoning-corpus,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/datasets/openbmb/UltraX-Preview,UltraX-Preview,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/datasets/LiquidAI/antidoom-mix-v1.0,antidoom-mix,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/datasets/sensenova/SenseNova-Vision-Corpus-50M,sensenova-vision,training-data,unknown,later,low,Training data,out-of-scope
https://huggingface.co/prism-ml/Ternary-Bonsai-27B-gguf,ternary-bonsai,model-weights,unknown,skip,low,Model weights,out-of-scope
https://github.com/hashgraph-online/awesome-ai-plugins,awesome-ai-plugins,reference,unknown,skip,low,Plugin list,out-of-scope
https://iamdgarcia.medium.com/build-your-first-ai-plugin-in-2025-a-practical-guide-for-llm-enthusiasts-7a298e6a9930,medium-plugin-guide,tutorial,unknown,skip,low,Medium article,out-of-scope
https://code.claude.com/docs/en/plugins,claude-code-plugins-docs,docs,unknown,reference,medium,Claude Code plugin schema,reference
https://modelcontextprotocol.io/docs/develop/build-server,mcp-build-docs,docs,unknown,reference,medium,MCP build server docs,reference
